No model found.
Episode 113 | Total reward: -971 | Epsilon: 0.09884
Episode 114 | Total reward: -972 | Epsilon: 0.09883
Episode 115 | Total reward: -972 | Epsilon: 0.09882
Episode 116 | Total reward: -970 | Epsilon: 0.09881
Episode 117 | Total reward: -952 | Epsilon: 0.09880
Episode 118 | Total reward: -956 | Epsilon: 0.09878
Episode 119 | Total reward: -972 | Epsilon: 0.09877
Episode 120 | Total reward: -956 | Epsilon: 0.09876
Episode 121 | Total reward: -963 | Epsilon: 0.09875
Episode 122 | Total reward: -970 | Epsilon: 0.09874
Episode 123 | Total reward: -969 | Epsilon: 0.09873
Episode 124 | Total reward: -967 | Epsilon: 0.09871
Episode 125 | Total reward: -972 | Epsilon: 0.09870
Episode 126 | Total reward: -972 | Epsilon: 0.09869
Episode 127 | Total reward: -952 | Epsilon: 0.09868
Saved model at step 4000
Episode 128 | Total reward: -944 | Epsilon: 0.09866
Episode 129 | Total reward: -972 | Epsilon: 0.09865
Episode 130 | Total reward: -971 | Epsilon: 0.09864
Episode 131 | Total reward: -972 | Epsilon: 0.09863
Episode 132 | Total reward: -970 | Epsilon: 0.09862
Episode 133 | Total reward: -971 | Epsilon: 0.09861
Episode 134 | Total reward: -952 | Epsilon: 0.09860
Episode 135 | Total reward: -948 | Epsilon: 0.09858
Episode 136 | Total reward: -971 | Epsilon: 0.09857
Episode 137 | Total reward: -952 | Epsilon: 0.09855
Episode 138 | Total reward: -954 | Epsilon: 0.09854
Episode 139 | Total reward: -952 | Epsilon: 0.09852
Episode 140 | Total reward: -952 | Epsilon: 0.09850
Episode 141 | Total reward: -971 | Epsilon: 0.09849
Episode 142 | Total reward: -965 | Epsilon: 0.09848
Episode 143 | Total reward: -953 | Epsilon: 0.09847
Episode 144 | Total reward: -956 | Epsilon: 0.09845
Episode 145 | Total reward: -952 | Epsilon: 0.09844
Episode 146 | Total reward: -970 | Epsilon: 0.09843
Episode 147 | Total reward: -969 | Epsilon: 0.09842
Episode 148 | Total reward: -952 | Epsilon: 0.09840
Episode 149 | Total reward: -972 | Epsilon: 0.09839
Episode 150 | Total reward: -967 | Epsilon: 0.09838
Episode 151 | Total reward: -965 | Epsilon: 0.09837
Episode 152 | Total reward: -955 | Epsilon: 0.09835
Saved model at step 5000
Episode 153 | Total reward: -950 | Epsilon: 0.09834
Episode 154 | Total reward: -960 | Epsilon: 0.09832
Episode 155 | Total reward: -948 | Epsilon: 0.09830
Episode 156 | Total reward: -971 | Epsilon: 0.09829
Episode 157 | Total reward: -958 | Epsilon: 0.09828
Episode 158 | Total reward: -964 | Epsilon: 0.09827
Episode 159 | Total reward: -952 | Epsilon: 0.09825
Episode 160 | Total reward: -969 | Epsilon: 0.09824
Episode 161 | Total reward: -959 | Epsilon: 0.09823
Episode 162 | Total reward: -944 | Epsilon: 0.09821
Episode 163 | Total reward: -967 | Epsilon: 0.09820
Episode 164 | Total reward: -952 | Epsilon: 0.09818
Episode 165 | Total reward: -965 | Epsilon: 0.09817
Episode 166 | Total reward: -966 | Epsilon: 0.09816
Episode 167 | Total reward: -952 | Epsilon: 0.09814
Episode 168 | Total reward: -952 | Epsilon: 0.09813
Episode 169 | Total reward: -953 | Epsilon: 0.09811
Episode 170 | Total reward: -953 | Epsilon: 0.09810
Episode 171 | Total reward: -952 | Epsilon: 0.09808
Episode 172 | Total reward: -952 | Epsilon: 0.09806
Episode 173 | Total reward: -971 | Epsilon: 0.09805
Episode 174 | Total reward: -962 | Epsilon: 0.09804
Episode 175 | Total reward: -960 | Epsilon: 0.09803
Saved model at step 6000
Episode 176 | Total reward: -952 | Epsilon: 0.09801
Episode 177 | Total reward: -952 | Epsilon: 0.09800
Episode 178 | Total reward: -941 | Epsilon: 0.09798
Episode 179 | Total reward: -952 | Epsilon: 0.09796
Episode 180 | Total reward: -971 | Epsilon: 0.09795
Episode 181 | Total reward: -960 | Epsilon: 0.09794
Episode 182 | Total reward: -958 | Epsilon: 0.09792
Traceback (most recent call last):
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\agent.py", line 240, in <module>
    train()
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\agent.py", line 174, in train
    agent.learn()
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\agent.py", line 101, in learn
    s = torch.FloatTensor(np.concatenate(s)).to(device)
                          ^^^^^^^^^^^^^^^^^
KeyboardInterrupt
