Episode 104 | Total reward: 18.0 | Epsilon: 0.99329
Episode 105 | Total reward: 19.0 | Epsilon: 0.99323
Episode 106 | Total reward: 19.0 | Epsilon: 0.99317
Episode 107 | Total reward: 21.0 | Epsilon: 0.99311
Episode 108 | Total reward: 22.0 | Epsilon: 0.99304
Episode 109 | Total reward: 28.0 | Epsilon: 0.99296
Episode 110 | Total reward: 19.0 | Epsilon: 0.99290
Episode 111 | Total reward: 19.0 | Epsilon: 0.99284
Episode 112 | Total reward: 21.0 | Epsilon: 0.99278
Episode 113 | Total reward: 18.0 | Epsilon: 0.99272
Episode 114 | Total reward: 20.0 | Epsilon: 0.99266
Episode 115 | Total reward: 20.0 | Epsilon: 0.99260
Episode 116 | Total reward: 19.0 | Epsilon: 0.99254
Episode 117 | Total reward: 22.0 | Epsilon: 0.99248
Episode 118 | Total reward: 19.0 | Epsilon: 0.99242
Episode 119 | Total reward: 24.0 | Epsilon: 0.99235
Episode 120 | Total reward: 22.0 | Epsilon: 0.99228
Episode 121 | Total reward: 22.0 | Epsilon: 0.99222
Episode 122 | Total reward: 20.0 | Epsilon: 0.99216
Episode 123 | Total reward: 23.0 | Epsilon: 0.99209
Episode 124 | Total reward: 19.0 | Epsilon: 0.99203
Episode 125 | Total reward: 21.0 | Epsilon: 0.99197
Episode 126 | Total reward: 20.0 | Epsilon: 0.99190
Episode 127 | Total reward: 18.0 | Epsilon: 0.99185
Episode 128 | Total reward: 20.0 | Epsilon: 0.99178
Episode 129 | Total reward: 18.0 | Epsilon: 0.99173
Episode 130 | Total reward: 19.0 | Epsilon: 0.99167
Episode 131 | Total reward: 18.0 | Epsilon: 0.99161
Episode 132 | Total reward: 20.0 | Epsilon: 0.99155
Episode 133 | Total reward: 22.0 | Epsilon: 0.99148
Episode 134 | Total reward: 25.0 | Epsilon: 0.99141
Episode 135 | Total reward: 25.0 | Epsilon: 0.99134
Episode 136 | Total reward: 21.0 | Epsilon: 0.99128
Episode 137 | Total reward: 21.0 | Epsilon: 0.99121
Episode 138 | Total reward: 20.0 | Epsilon: 0.99115
Episode 139 | Total reward: 19.0 | Epsilon: 0.99109
Episode 140 | Total reward: 19.0 | Epsilon: 0.99103
Episode 141 | Total reward: 18.0 | Epsilon: 0.99098
Episode 142 | Total reward: 23.0 | Epsilon: 0.99091
Episode 143 | Total reward: 22.0 | Epsilon: 0.99084
Episode 144 | Total reward: 23.0 | Epsilon: 0.99078
Episode 145 | Total reward: 21.0 | Epsilon: 0.99071
Episode 146 | Total reward: 20.0 | Epsilon: 0.99065
Episode 147 | Total reward: 20.0 | Epsilon: 0.99059
Episode 148 | Total reward: 21.0 | Epsilon: 0.99053
Episode 149 | Total reward: 20.0 | Epsilon: 0.99047
Episode 150 | Total reward: 20.0 | Epsilon: 0.99040
Episode 151 | Total reward: 21.0 | Epsilon: 0.99034
Episode 152 | Total reward: 20.0 | Epsilon: 0.99028
Episode 153 | Total reward: 23.0 | Epsilon: 0.99021
Episode 154 | Total reward: 20.0 | Epsilon: 0.99015
Episode 155 | Total reward: 19.0 | Epsilon: 0.99009
Episode 156 | Total reward: 19.0 | Epsilon: 0.99003
Episode 157 | Total reward: 23.0 | Epsilon: 0.98997
Episode 158 | Total reward: 19.0 | Epsilon: 0.98991
Episode 159 | Total reward: 24.0 | Epsilon: 0.98984
Episode 160 | Total reward: 23.0 | Epsilon: 0.98977
Episode 161 | Total reward: 21.0 | Epsilon: 0.98971
Episode 162 | Total reward: 19.0 | Epsilon: 0.98965
Episode 163 | Total reward: 22.0 | Epsilon: 0.98958
Episode 164 | Total reward: 23.0 | Epsilon: 0.98951
Episode 165 | Total reward: 20.0 | Epsilon: 0.98945
Episode 166 | Total reward: 20.0 | Epsilon: 0.98939
Episode 167 | Total reward: 28.0 | Epsilon: 0.98931
Episode 168 | Total reward: 21.0 | Epsilon: 0.98925
Episode 169 | Total reward: 20.0 | Epsilon: 0.98919
Traceback (most recent call last):
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\agent.py", line 249, in <module>
    train()
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\agent.py", line 181, in train
    agent.learn()
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\agent.py", line 103, in learn
    s_ = torch.FloatTensor(np.concatenate(s_)).to(device)
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
