No model found.
Episode 41 | Total reward: -2.0700000000000003 | Epsilon: 0.09985
Episode 42 | Total reward: -5.3 | Epsilon: 0.09984
Episode 43 | Total reward: -5.3 | Epsilon: 0.09984
Episode 44 | Total reward: -5.17 | Epsilon: 0.09984
Episode 45 | Total reward: -5.38 | Epsilon: 0.09983
Episode 46 | Total reward: -5.48 | Epsilon: 0.09983
Episode 47 | Total reward: -5.2700000000000005 | Epsilon: 0.09983
Episode 48 | Total reward: -5.34 | Epsilon: 0.09982
Episode 49 | Total reward: -1.7100000000000002 | Epsilon: 0.09982
Episode 50 | Total reward: -1.86 | Epsilon: 0.09981
Episode 51 | Total reward: -5.32 | Epsilon: 0.09981
Episode 52 | Total reward: -5.29 | Epsilon: 0.09981
Episode 53 | Total reward: -5.41 | Epsilon: 0.09980
Episode 54 | Total reward: -5.4 | Epsilon: 0.09980
Episode 55 | Total reward: -1.7000000000000002 | Epsilon: 0.09979
Episode 56 | Total reward: -2.1200000000000006 | Epsilon: 0.09979
Episode 57 | Total reward: -5.3 | Epsilon: 0.09979
Episode 58 | Total reward: -1.8900000000000003 | Epsilon: 0.09978
Episode 59 | Total reward: -5.470000000000001 | Epsilon: 0.09978
Episode 60 | Total reward: -5.36 | Epsilon: 0.09977
Episode 61 | Total reward: -1.7300000000000002 | Epsilon: 0.09977
Episode 62 | Total reward: -5.37 | Epsilon: 0.09976
Episode 63 | Total reward: -5.3500000000000005 | Epsilon: 0.09976
Episode 64 | Total reward: -5.3100000000000005 | Epsilon: 0.09976
Episode 65 | Total reward: -5.29 | Epsilon: 0.09975
Episode 66 | Total reward: 3.200000000000001 | Epsilon: 0.09975
Episode 67 | Total reward: -5.29 | Epsilon: 0.09974
Episode 68 | Total reward: -5.34 | Epsilon: 0.09974
Episode 69 | Total reward: -1.9800000000000002 | Epsilon: 0.09974
Episode 70 | Total reward: -1.8700000000000003 | Epsilon: 0.09973
Episode 71 | Total reward: -5.3100000000000005 | Epsilon: 0.09973
Episode 72 | Total reward: -2.0700000000000003 | Epsilon: 0.09972
Episode 73 | Total reward: -2.2300000000000004 | Epsilon: 0.09972
Episode 74 | Total reward: -5.2700000000000005 | Epsilon: 0.09972
Episode 75 | Total reward: -1.6800000000000004 | Epsilon: 0.09971
Episode 76 | Total reward: -2.2500000000000004 | Epsilon: 0.09971
Episode 77 | Total reward: -5.38 | Epsilon: 0.09970
Episode 78 | Total reward: -1.8700000000000003 | Epsilon: 0.09970
Episode 79 | Total reward: -2.0300000000000002 | Epsilon: 0.09969
Episode 80 | Total reward: -1.9900000000000002 | Epsilon: 0.09969
Episode 81 | Total reward: -5.42 | Epsilon: 0.09968
Episode 82 | Total reward: -5.44 | Epsilon: 0.09968
Episode 83 | Total reward: -5.470000000000001 | Epsilon: 0.09967
Episode 84 | Total reward: -1.9000000000000001 | Epsilon: 0.09967
Episode 85 | Total reward: -2.0400000000000005 | Epsilon: 0.09966
Episode 86 | Total reward: -5.3 | Epsilon: 0.09966
Episode 87 | Total reward: -5.34 | Epsilon: 0.09966
Episode 88 | Total reward: -5.4 | Epsilon: 0.09965
Episode 89 | Total reward: -5.41 | Epsilon: 0.09965
Episode 90 | Total reward: -1.6800000000000002 | Epsilon: 0.09964
Episode 91 | Total reward: -5.4 | Epsilon: 0.09964
Episode 92 | Total reward: -5.32 | Epsilon: 0.09964
Episode 93 | Total reward: -1.9600000000000002 | Epsilon: 0.09963
Episode 94 | Total reward: -5.3100000000000005 | Epsilon: 0.09963
Episode 95 | Total reward: -2.0300000000000002 | Epsilon: 0.09962
Episode 96 | Total reward: -1.84 | Epsilon: 0.09962
Episode 97 | Total reward: -1.8500000000000003 | Epsilon: 0.09961
Episode 98 | Total reward: -1.9500000000000002 | Epsilon: 0.09961
Episode 99 | Total reward: -5.41 | Epsilon: 0.09960
Episode 100 | Total reward: -5.46 | Epsilon: 0.09960
Episode 101 | Total reward: -1.9400000000000002 | Epsilon: 0.09960
Episode 102 | Total reward: -1.9500000000000002 | Epsilon: 0.09959
Episode 103 | Total reward: -2.0000000000000004 | Epsilon: 0.09959
Episode 104 | Total reward: -5.430000000000001 | Epsilon: 0.09958
Episode 105 | Total reward: -5.470000000000001 | Epsilon: 0.09958
Episode 106 | Total reward: -1.7000000000000004 | Epsilon: 0.09957
Episode 107 | Total reward: -1.9900000000000002 | Epsilon: 0.09957
Episode 108 | Total reward: -1.9500000000000002 | Epsilon: 0.09956
Episode 109 | Total reward: -5.33 | Epsilon: 0.09956
Episode 110 | Total reward: -1.6700000000000002 | Epsilon: 0.09955
Episode 111 | Total reward: -5.390000000000001 | Epsilon: 0.09955
Episode 112 | Total reward: -2.1300000000000003 | Epsilon: 0.09954
Episode 113 | Total reward: -1.9500000000000002 | Epsilon: 0.09954
Episode 114 | Total reward: -1.6900000000000004 | Epsilon: 0.09953
Episode 115 | Total reward: -1.7900000000000003 | Epsilon: 0.09953
Episode 116 | Total reward: -2.14 | Epsilon: 0.09952
Episode 117 | Total reward: -1.7700000000000002 | Epsilon: 0.09952
Episode 118 | Total reward: -1.9500000000000002 | Epsilon: 0.09952
Episode 119 | Total reward: -2.0400000000000005 | Epsilon: 0.09951
Episode 120 | Total reward: -1.8500000000000003 | Epsilon: 0.09951
Episode 121 | Total reward: -2.0100000000000002 | Epsilon: 0.09950
Episode 122 | Total reward: -1.8900000000000003 | Epsilon: 0.09950
Episode 123 | Total reward: -1.9400000000000002 | Epsilon: 0.09949
Episode 124 | Total reward: -2.2800000000000002 | Epsilon: 0.09949
Episode 125 | Total reward: -1.8 | Epsilon: 0.09948
Episode 126 | Total reward: -2.1700000000000004 | Epsilon: 0.09948
Episode 127 | Total reward: -1.7600000000000002 | Epsilon: 0.09947
Episode 128 | Total reward: -2.0400000000000005 | Epsilon: 0.09947
Episode 129 | Total reward: -5.48 | Epsilon: 0.09946
Episode 130 | Total reward: -2.0200000000000005 | Epsilon: 0.09946
Episode 131 | Total reward: -1.9600000000000002 | Epsilon: 0.09945
Episode 132 | Total reward: -5.430000000000001 | Epsilon: 0.09945
Episode 133 | Total reward: -1.9000000000000001 | Epsilon: 0.09944
Episode 134 | Total reward: -2.0600000000000005 | Epsilon: 0.09944
Episode 135 | Total reward: -1.8 | Epsilon: 0.09943
Episode 136 | Total reward: -1.7100000000000004 | Epsilon: 0.09943
Episode 137 | Total reward: -1.9200000000000002 | Epsilon: 0.09942
Episode 138 | Total reward: -1.9700000000000002 | Epsilon: 0.09942
Episode 139 | Total reward: -5.37 | Epsilon: 0.09941
Episode 140 | Total reward: -1.7100000000000002 | Epsilon: 0.09941
Episode 141 | Total reward: -5.4 | Epsilon: 0.09940
Episode 142 | Total reward: -1.6900000000000002 | Epsilon: 0.09940
