Episode 94 | Total reward: 8.408187500000004 | Epsilon: 0.09658
Episode 95 | Total reward: 12.296746093749999 | Epsilon: 0.09654
Episode 96 | Total reward: 9.80517578125 | Epsilon: 0.09651
Episode 97 | Total reward: 10.328207031249995 | Epsilon: 0.09647
Episode 98 | Total reward: 9.738042968749994 | Epsilon: 0.09644
Episode 99 | Total reward: 9.96953125 | Epsilon: 0.09640
Episode 100 | Total reward: 8.562867187500004 | Epsilon: 0.09637
Episode 101 | Total reward: 11.340023437500001 | Epsilon: 0.09634
Episode 102 | Total reward: 10.272441406250003 | Epsilon: 0.09630
Episode 103 | Total reward: 10.772285156249996 | Epsilon: 0.09627
Episode 104 | Total reward: 8.759171875000003 | Epsilon: 0.09624
Episode 105 | Total reward: 9.155789062500006 | Epsilon: 0.09620
Episode 106 | Total reward: 10.216261718750001 | Epsilon: 0.09617
Episode 107 | Total reward: 8.787292968750002 | Epsilon: 0.09614
Episode 108 | Total reward: 9.3293671875 | Epsilon: 0.09611
Episode 109 | Total reward: 9.5756875 | Epsilon: 0.09608
Episode 110 | Total reward: 10.184343749999996 | Epsilon: 0.09605
Episode 111 | Total reward: 9.62758203125 | Epsilon: 0.09602
Episode 112 | Total reward: 8.6848125 | Epsilon: 0.09599
Episode 113 | Total reward: 11.134765624999996 | Epsilon: 0.09595
Episode 114 | Total reward: 12.720906250000002 | Epsilon: 0.09591
Episode 115 | Total reward: 12.767281249999996 | Epsilon: 0.09588
Episode 116 | Total reward: 9.95338671875 | Epsilon: 0.09584
Episode 117 | Total reward: 9.801792968750004 | Epsilon: 0.09581
Episode 118 | Total reward: 12.14182421875 | Epsilon: 0.09577
Episode 119 | Total reward: 12.970296874999995 | Epsilon: 0.09574
Episode 120 | Total reward: 11.48840234375 | Epsilon: 0.09570
Episode 121 | Total reward: 8.7099921875 | Epsilon: 0.09567
Episode 122 | Total reward: 14.071203124999997 | Epsilon: 0.09563
Episode 123 | Total reward: 12.874859374999996 | Epsilon: 0.09559
Episode 124 | Total reward: 11.844609374999994 | Epsilon: 0.09556
Episode 125 | Total reward: 11.78568359375 | Epsilon: 0.09552
Episode 126 | Total reward: 11.925371093749995 | Epsilon: 0.09549
Episode 127 | Total reward: 9.953675781250002 | Epsilon: 0.09546
Episode 128 | Total reward: 12.750101562499996 | Epsilon: 0.09542
Episode 129 | Total reward: 17.968417968749993 | Epsilon: 0.09537
Episode 130 | Total reward: 14.354183593749998 | Epsilon: 0.09533
Episode 131 | Total reward: 17.26705859375 | Epsilon: 0.09529
Episode 132 | Total reward: 15.716468750000004 | Epsilon: 0.09525
Episode 133 | Total reward: 10.427937500000006 | Epsilon: 0.09522
Episode 134 | Total reward: 15.45596484375 | Epsilon: 0.09518
Episode 135 | Total reward: 9.936078124999998 | Epsilon: 0.09515
Episode 136 | Total reward: 18.50641015624999 | Epsilon: 0.09510
Episode 137 | Total reward: 34.934578124999994 | Epsilon: 0.09504
Episode 138 | Total reward: 14.056742187499989 | Epsilon: 0.09500
Episode 139 | Total reward: 9.082746093750007 | Epsilon: 0.09497
Episode 140 | Total reward: 14.553339843749995 | Epsilon: 0.09493
Episode 141 | Total reward: 16.349691406250003 | Epsilon: 0.09488
Episode 142 | Total reward: 11.4826640625 | Epsilon: 0.09484
Episode 143 | Total reward: 10.180687500000001 | Epsilon: 0.09481
Episode 144 | Total reward: 10.124359375000001 | Epsilon: 0.09478
Episode 145 | Total reward: 13.37674609375 | Epsilon: 0.09474
Episode 146 | Total reward: 11.397132812499994 | Epsilon: 0.09471
Episode 147 | Total reward: 9.862757812499996 | Epsilon: 0.09468
Episode 148 | Total reward: 17.116390624999998 | Epsilon: 0.09463
Episode 149 | Total reward: 12.615953124999987 | Epsilon: 0.09460
Episode 150 | Total reward: 11.599609375 | Epsilon: 0.09456
Episode 151 | Total reward: 13.1716640625 | Epsilon: 0.09452
Episode 152 | Total reward: 9.799871093750003 | Epsilon: 0.09449
Episode 153 | Total reward: 9.837109375 | Epsilon: 0.09446
Episode 154 | Total reward: 9.699519531249994 | Epsilon: 0.09443
Episode 155 | Total reward: 8.863890625 | Epsilon: 0.09440
Episode 156 | Total reward: 9.884941406249997 | Epsilon: 0.09436
Episode 157 | Total reward: 16.67073046875 | Epsilon: 0.09432
Episode 158 | Total reward: 9.194445312500012 | Epsilon: 0.09429
Episode 159 | Total reward: 12.901117187499999 | Epsilon: 0.09425
Episode 160 | Total reward: 13.244003906249993 | Epsilon: 0.09421
Episode 161 | Total reward: 14.87291015625 | Epsilon: 0.09417
Episode 162 | Total reward: 15.56562109375 | Epsilon: 0.09413
Episode 163 | Total reward: 10.488042968749994 | Epsilon: 0.09409
Episode 164 | Total reward: 12.656703125 | Epsilon: 0.09405
Episode 165 | Total reward: 17.110980468749993 | Epsilon: 0.09401
Episode 166 | Total reward: 10.979781249999998 | Epsilon: 0.09397
Episode 167 | Total reward: 13.723535156250001 | Epsilon: 0.09393
Episode 168 | Total reward: 20.460746093750004 | Epsilon: 0.09388
Episode 169 | Total reward: 18.396128906250006 | Epsilon: 0.09384
