2025-05-31 23:33:39,285 INFO    MainThread:24536 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-31 23:33:39,286 INFO    MainThread:24536 [wandb_setup.py:_flush():70] Configure stats pid to 24536
2025-05-31 23:33:39,286 INFO    MainThread:24536 [wandb_setup.py:_flush():70] Loading settings from C:\Users\milan\.config\wandb\settings
2025-05-31 23:33:39,286 INFO    MainThread:24536 [wandb_setup.py:_flush():70] Loading settings from C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw\hw3\wandb\settings
2025-05-31 23:33:39,286 INFO    MainThread:24536 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-31 23:33:39,286 INFO    MainThread:24536 [wandb_init.py:setup_run_log_directory():724] Logging user logs to C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw\hw3\wandb\run-20250531_233339-kjlkxjej\logs\debug.log
2025-05-31 23:33:39,287 INFO    MainThread:24536 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw\hw3\wandb\run-20250531_233339-kjlkxjej\logs\debug-internal.log
2025-05-31 23:33:39,287 INFO    MainThread:24536 [wandb_init.py:init():852] calling init triggers
2025-05-31 23:33:39,287 INFO    MainThread:24536 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'epochs': 1, 'label_smoothing': 0.1, '_wandb': {}}
2025-05-31 23:33:39,287 INFO    MainThread:24536 [wandb_init.py:init():893] starting backend
2025-05-31 23:33:39,287 INFO    MainThread:24536 [wandb_init.py:init():897] sending inform_init request
2025-05-31 23:33:39,327 INFO    MainThread:24536 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-31 23:33:39,328 INFO    MainThread:24536 [wandb_init.py:init():907] backend started and connected
2025-05-31 23:33:39,328 INFO    MainThread:24536 [wandb_init.py:init():1005] updated telemetry
2025-05-31 23:33:39,359 INFO    MainThread:24536 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-31 23:33:39,978 INFO    MainThread:24536 [wandb_init.py:init():1104] starting run threads in backend
2025-05-31 23:33:40,061 INFO    MainThread:24536 [wandb_run.py:_console_start():2573] atexit reg
2025-05-31 23:33:40,061 INFO    MainThread:24536 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-31 23:33:40,061 INFO    MainThread:24536 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-31 23:33:40,061 INFO    MainThread:24536 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-31 23:33:40,063 INFO    MainThread:24536 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-31 23:33:40,333 INFO    MsgRouterThr:24536 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
