No model found.
Episode 96 | Total reward: -1.9643750000000002 | Epsilon: 0.19973
Episode 97 | Total reward: -1.9526562500000002 | Epsilon: 0.19972
Episode 98 | Total reward: -1.9917187500000002 | Epsilon: 0.19972
Episode 99 | Total reward: -2.1050000000000004 | Epsilon: 0.19972
Episode 100 | Total reward: -200.42 | Epsilon: 0.19971
Episode 101 | Total reward: -2.1050000000000004 | Epsilon: 0.19971
Episode 102 | Total reward: -200.42 | Epsilon: 0.19971
Episode 103 | Total reward: -200.4 | Epsilon: 0.19971
Episode 104 | Total reward: -200.47 | Epsilon: 0.19970
Episode 105 | Total reward: -200.37 | Epsilon: 0.19970
Episode 106 | Total reward: -2.2690625000000004 | Epsilon: 0.19970
Episode 107 | Total reward: -1.9018750000000002 | Epsilon: 0.19969
Episode 108 | Total reward: -200.43 | Epsilon: 0.19969
Episode 109 | Total reward: -1.8979687500000002 | Epsilon: 0.19969
Episode 110 | Total reward: -200.45 | Epsilon: 0.19968
Episode 111 | Total reward: -200.46 | Epsilon: 0.19968
Episode 112 | Total reward: -1.8510937500000002 | Epsilon: 0.19968
Episode 113 | Total reward: -200.39 | Epsilon: 0.19968
Episode 114 | Total reward: -200.4 | Epsilon: 0.19967
Episode 115 | Total reward: -200.46 | Epsilon: 0.19967
Episode 116 | Total reward: -200.42 | Epsilon: 0.19967
Episode 117 | Total reward: -2.0659375000000004 | Epsilon: 0.19966
Episode 118 | Total reward: -1.7079687500000003 | Epsilon: 0.19966
Episode 119 | Total reward: -1.8354687500000002 | Epsilon: 0.19966
Episode 120 | Total reward: -200.4 | Epsilon: 0.19966
Episode 121 | Total reward: -200.39 | Epsilon: 0.19965
Episode 122 | Total reward: -1.8159375000000002 | Epsilon: 0.19965
Episode 123 | Total reward: -200.4 | Epsilon: 0.19965
Episode 124 | Total reward: -1.8081250000000002 | Epsilon: 0.19964
Episode 125 | Total reward: -1.7964062500000002 | Epsilon: 0.19964
Episode 126 | Total reward: -2.0229687500000004 | Epsilon: 0.19964
