No model found.
Episode 113 | Total reward: 23 | Epsilon: 0.09854
Episode 114 | Total reward: 21 | Epsilon: 0.09853
Episode 115 | Total reward: 38 | Epsilon: 0.09851
Episode 116 | Total reward: 18 | Epsilon: 0.09850
Episode 117 | Total reward: 37 | Epsilon: 0.09849
Episode 118 | Total reward: 22 | Epsilon: 0.09847
Episode 119 | Total reward: 24 | Epsilon: 0.09846
Episode 120 | Total reward: 38 | Epsilon: 0.09845
Episode 121 | Total reward: 21 | Epsilon: 0.09844
Episode 122 | Total reward: 21 | Epsilon: 0.09843
Episode 123 | Total reward: 21 | Epsilon: 0.09842
Episode 124 | Total reward: 25 | Epsilon: 0.09840
Episode 125 | Total reward: 28 | Epsilon: 0.09839
Episode 126 | Total reward: 38 | Epsilon: 0.09837
Episode 127 | Total reward: 27 | Epsilon: 0.09836
Episode 128 | Total reward: 35 | Epsilon: 0.09835
Episode 129 | Total reward: 22 | Epsilon: 0.09834
Episode 130 | Total reward: 38 | Epsilon: 0.09832
Episode 131 | Total reward: 24 | Epsilon: 0.09831
Episode 132 | Total reward: 25 | Epsilon: 0.09830
Episode 133 | Total reward: 25 | Epsilon: 0.09829
Episode 134 | Total reward: 22 | Epsilon: 0.09827
Episode 135 | Total reward: 38 | Epsilon: 0.09826
Episode 136 | Total reward: 31 | Epsilon: 0.09824
Episode 137 | Total reward: 27 | Epsilon: 0.09823
Episode 138 | Total reward: 22 | Epsilon: 0.09822
Episode 139 | Total reward: 26 | Epsilon: 0.09821
Episode 140 | Total reward: 38 | Epsilon: 0.09819
Episode 141 | Total reward: 33 | Epsilon: 0.09818
Episode 142 | Total reward: 38 | Epsilon: 0.09816
Episode 143 | Total reward: 38 | Epsilon: 0.09815
Episode 144 | Total reward: 24 | Epsilon: 0.09814
Episode 145 | Total reward: 23 | Epsilon: 0.09812
Episode 146 | Total reward: 26 | Epsilon: 0.09811
Episode 147 | Total reward: 19 | Epsilon: 0.09810
Episode 148 | Total reward: 32 | Epsilon: 0.09809
Episode 149 | Total reward: 24 | Epsilon: 0.09808
Episode 150 | Total reward: 30 | Epsilon: 0.09806
Episode 151 | Total reward: 22 | Epsilon: 0.09805
Episode 152 | Total reward: 21 | Epsilon: 0.09804
Episode 153 | Total reward: 24 | Epsilon: 0.09803
Episode 154 | Total reward: 20 | Epsilon: 0.09802
Episode 155 | Total reward: 38 | Epsilon: 0.09800
Episode 156 | Total reward: 21 | Epsilon: 0.09799
Episode 157 | Total reward: 38 | Epsilon: 0.09798
Episode 158 | Total reward: 23 | Epsilon: 0.09797
Episode 159 | Total reward: 38 | Epsilon: 0.09795
Episode 160 | Total reward: 38 | Epsilon: 0.09794
Episode 161 | Total reward: 47 | Epsilon: 0.09792
Episode 162 | Total reward: 38 | Epsilon: 0.09790
Episode 163 | Total reward: 33 | Epsilon: 0.09789
Episode 164 | Total reward: 37 | Epsilon: 0.09787
Episode 165 | Total reward: 36 | Epsilon: 0.09786
Episode 166 | Total reward: 33 | Epsilon: 0.09784
Episode 167 | Total reward: 38 | Epsilon: 0.09782
Episode 168 | Total reward: 23 | Epsilon: 0.09781
Episode 169 | Total reward: 20 | Epsilon: 0.09780
Episode 170 | Total reward: 38 | Epsilon: 0.09779
Episode 171 | Total reward: 38 | Epsilon: 0.09777
Episode 172 | Total reward: 35 | Epsilon: 0.09776
Episode 173 | Total reward: 24 | Epsilon: 0.09775
Episode 174 | Total reward: 37 | Epsilon: 0.09773
Episode 175 | Total reward: 35 | Epsilon: 0.09771
Episode 176 | Total reward: 38 | Epsilon: 0.09770
Episode 177 | Total reward: 38 | Epsilon: 0.09768
Episode 178 | Total reward: 38 | Epsilon: 0.09767
Episode 179 | Total reward: 23 | Epsilon: 0.09766
Episode 180 | Total reward: 27 | Epsilon: 0.09764
Episode 181 | Total reward: 33 | Epsilon: 0.09763
Episode 182 | Total reward: 23 | Epsilon: 0.09762
Episode 183 | Total reward: 33 | Epsilon: 0.09760
Episode 184 | Total reward: 38 | Epsilon: 0.09759
Episode 185 | Total reward: 38 | Epsilon: 0.09757
Episode 186 | Total reward: 38 | Epsilon: 0.09756
Episode 187 | Total reward: 40 | Epsilon: 0.09754
Episode 188 | Total reward: 38 | Epsilon: 0.09752
Episode 189 | Total reward: 38 | Epsilon: 0.09751
Episode 190 | Total reward: 31 | Epsilon: 0.09749
Episode 191 | Total reward: 38 | Epsilon: 0.09748
Episode 192 | Total reward: 24 | Epsilon: 0.09747
Episode 193 | Total reward: 44 | Epsilon: 0.09745
Episode 194 | Total reward: 30 | Epsilon: 0.09744
Episode 195 | Total reward: 23 | Epsilon: 0.09742
Episode 196 | Total reward: 38 | Epsilon: 0.09741
Episode 197 | Total reward: 23 | Epsilon: 0.09740
Episode 198 | Total reward: 38 | Epsilon: 0.09738
Episode 199 | Total reward: 38 | Epsilon: 0.09737
Episode 200 | Total reward: 26 | Epsilon: 0.09735
Episode 201 | Total reward: 23 | Epsilon: 0.09734
Episode 202 | Total reward: 46 | Epsilon: 0.09732
Episode 203 | Total reward: 29 | Epsilon: 0.09731
Episode 204 | Total reward: 38 | Epsilon: 0.09730
Episode 205 | Total reward: 49 | Epsilon: 0.09728
Episode 206 | Total reward: 38 | Epsilon: 0.09726
Episode 207 | Total reward: 21 | Epsilon: 0.09725
Episode 208 | Total reward: 38 | Epsilon: 0.09723
Episode 209 | Total reward: 38 | Epsilon: 0.09722
Episode 210 | Total reward: 30 | Epsilon: 0.09721
